loadness, x1, x2, x3, x4, x5, x6, sigma1, a1, b1, sigma2, a2, b2, avg_await_time
1.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 0.6206774547905782
1.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.6 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 8.960769515458674 , 11.039230484541326 , 1.3742656425361903
1.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 1.6 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 7.228718707889796 , 12.771281292110203 , 0.2348220205644358
1.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 2.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 6.362693304105358 , 13.637306695894642 , 0.5990619242186194
1.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 3.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 4.63064249653648 , 15.369357503463519 , 0.6870802142172916
1.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 3.6 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 3.764617092752042 , 16.23538290724796 , 0.723773110122277
1.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 4.6 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 2.032566285183165 , 17.967433714816835 , 0.7111681463966242
0.28571428571428575 , 0.1 , 0.1 , 0.1 , 0.1 , 0.6 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 1.493461585909779 , 1.8398717474235544 , 0.5237115231597964
0.28571428571428575 , 0.1 , 0.1 , 0.1 , 0.1 , 0.6 , 0.6 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.6274361821253405 , 2.705897151207993 , 0.41796516992405863
0.16666666666666666 , 0.1 , 0.1 , 0.1 , 0.1 , 1.1 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.7358858283340213 , 1.0822959898477968 , 0.5094783533331515
0.11764705882352941 , 0.1 , 0.1 , 0.1 , 0.1 , 1.6 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.45179491924311227 , 0.7982050807568877 , 0.8355271672626265
0.09090909090909091 , 0.1 , 0.1 , 0.1 , 0.1 , 2.1 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.30298539543358843 , 0.649395556947364 , 1.2192275998230864
0.07407407407407407 , 0.1 , 0.1 , 0.1 , 0.1 , 2.6 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.21141030385849685 , 0.5578204653722723 , 0.6273673848791987
0.0625 , 0.1 , 0.1 , 0.1 , 0.1 , 3.1 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.14937556440440258 , 0.49578572591817804 , 1.798457402683237
0.05405405405405406 , 0.1 , 0.1 , 0.1 , 0.1 , 3.6 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.10457269702089006 , 0.4509828585346655 , 0.23790794605881588
0.04761904761904763 , 0.1 , 0.1 , 0.1 , 0.1 , 4.1 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.07069735826750254 , 0.417107519781278 , 0.9754403603587443
0.04255319148936171 , 0.1 , 0.1 , 0.1 , 0.1 , 4.6 , 0.1 , 7.978845608028654 , 9.826794919243111 , 10.173205080756889 , 7.978845608028654 , 0.04418622359093838 , 0.39059638510471384 , 0.9183160798132303
